"품목별(1)","품목별(2)",품목별(3),품목별(4),품목별(5),품목별(6),품목별(7),품목별(8),시점,생산지수,생산금액 (십억원)
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1965,46.2,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1966,49.2,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1967,43.0,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1968,44.3,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1969,50.5,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1970,50.4,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1971,49.7,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1972,51.9,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1973,54.2,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1974,58.0,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1975,60.0,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1976,67.8,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1977,70.7,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1978,71.6,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1979,74.5,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1980,58.1,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1981,67.2,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1982,70.6,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1983,78.7,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1984,78.6,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1985,82.1,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1986,83.9,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1987,78.0,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1988,83.5,0.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1989,86.7,16274.4
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1990,81.7,17859.8
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1991,82.7,19346.5
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1992,87.1,20563.4
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1993,87.8,20990.8
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1994,87.2,23807.1
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1995,93.8,26341.6
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1996,98.1,28316.9
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1997,99.3,29375.4
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1998,95.2,29759.9
"농림업","농업",농업총계,소계,소계,소계,소계,소계,1999,98.6,31973.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2000,101.3,31967.8
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2001,102.3,32383.1
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2002,98.0,32163.7
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2003,92.4,31808.7
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2004,98.9,36155.5
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2005,99.2,35088.9
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2006,96.7,35232.4
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2007,98.4,34685.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2008,103.0,42780.7
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2009,106.2,45069.5
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2010,104.7,45724.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2011,95.7,45453.8
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2012,102.3,48919.1
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2013,103.3,49257.1
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2014,103.3,48669.2
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2015,102.0,48470.9
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2016,100.7,47275.7
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2017,99.1,48170.4
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2018,99.6,50051.3
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2019,102.0,49803.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2020,96.5,50173.0
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2021,101.5,59203.7
"농림업","농업",농업총계,소계,소계,소계,소계,소계,2022,100.5,57904.6
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1965,70.4,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1966,74.4,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1967,65.4,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1968,68.5,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1969,75.6,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1970,74.3,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1971,74.2,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1972,76.1,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1973,77.2,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1974,79.5,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1975,91.1,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1976,99.0,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1977,102.0,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1978,100.2,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1979,104.0,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1980,79.9,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1981,93.5,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1982,96.0,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1983,101.4,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1984,99.8,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1985,101.9,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1986,105.7,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1987,100.0,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1988,109.7,0.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1989,113.0,12806.1
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1990,104.6,13906.6
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1991,103.7,14912.9
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1992,109.2,15931.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1993,105.5,15922.2
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1994,105.4,18494.4
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1995,113.3,20379.4
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1996,116.5,21382.7
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1997,117.3,22472.3
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1998,110.3,22245.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,1999,120.1,24036.3
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2000,120.6,23885.3
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2001,124.3,24071.1
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2002,114.2,23111.8
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2003,103.4,22939.1
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2004,116.8,25315.6
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2005,115.9,23321.7
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2006,110.0,23556.1
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2007,111.0,23407.7
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2008,113.9,29187.8
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2009,117.5,28585.5
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2010,112.4,28252.7
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2011,108.5,30412.4
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2012,106.5,32825.4
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2013,111.4,32944.9
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2014,112.4,29794.7
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2015,109.7,29259.3
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2016,106.6,27977.2
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2017,104.0,27992.9
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2018,101.9,30269.8
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2019,103.7,29879.6
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2020,94.8,29807.0
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2021,101.5,34606.1
"농림업","농업",농업총계,재배업,소계,소계,소계,소계,2022,99.3,32662.5
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1965,168.2,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1966,173.4,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1967,146.7,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1968,150.5,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1969,170.0,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1970,166.3,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1971,160.9,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1972,158.7,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1973,159.4,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1974,162.8,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1975,182.6,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1976,190.7,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1977,194.6,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1978,192.7,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1979,184.7,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1980,127.1,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1981,163.4,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1982,158.8,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1983,165.8,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1984,169.3,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1985,163.5,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1986,158.7,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1987,153.9,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1988,168.4,0.0
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1989,166.9,7048.9
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1990,152.3,7405.3
"농림업","농업",농업총계,재배업,식량작물,소계,소계,소계,1991,143.3,7324.7
