"품목별(1)",품목별(2),품목별(3),품목별(4),품목별(5),품목별(6),품목별(7),품목별(8),1965,1965,1966,1966,1967,1967,1968,1968,1969,1969,1970,1970,1971,1971,1972,1972,1973,1973,1974,1974,1975,1975,1976,1976,1977,1977,1978,1978,1979,1979,1980,1980,1981,1981,1982,1982,1983,1983,1984,1984,1985,1985,1986,1986,1987,1987,1988,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,1994,1994,1995,1995,1996,1996,1997,1997,1998,1998,1999,1999,2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
"품목별(1)",품목별(2),품목별(3),품목별(4),품목별(5),품목별(6),품목별(7),품목별(8),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원),생산지수,생산금액 (십억원)
"농림업",농업,농업총계,소계,소계,소계,소계,소계,46.2,0.0,49.2,0.0,43.0,0.0,44.3,0.0,50.5,0.0,50.4,0.0,49.7,0.0,51.9,0.0,54.2,0.0,58.0,0.0,60.0,0.0,67.8,0.0,70.7,0.0,71.6,0.0,74.5,0.0,58.1,0.0,67.2,0.0,70.6,0.0,78.7,0.0,78.6,0.0,82.1,0.0,83.9,0.0,78.0,0.0,83.5,0.0,86.7,16274.4,81.7,17859.8,82.7,19346.5,87.1,20563.4,87.8,20990.8,87.2,23807.1,93.8,26341.6,98.1,28316.9,99.3,29375.4,95.2,29759.9,98.6,31973.0,101.3,31967.8,102.3,32383.1,98.0,32163.7,92.4,31808.7,98.9,36155.5,99.2,35088.9,96.7,35232.4,98.4,34685.0,103.0,42780.7,106.2,45069.5,104.7,45724.0,95.7,45453.8,102.3,48919.1,103.3,49257.1,103.3,48669.2,102.0,48470.9,100.7,47275.7,99.1,48170.4,99.6,50051.3,102.0,49803.0,96.5,50173.0,101.5,59203.7,100.5,57904.6
"농림업",농업,농업총계,재배업,소계,소계,소계,소계,70.4,0.0,74.4,0.0,65.4,0.0,68.5,0.0,75.6,0.0,74.3,0.0,74.2,0.0,76.1,0.0,77.2,0.0,79.5,0.0,91.1,0.0,99.0,0.0,102.0,0.0,100.2,0.0,104.0,0.0,79.9,0.0,93.5,0.0,96.0,0.0,101.4,0.0,99.8,0.0,101.9,0.0,105.7,0.0,100.0,0.0,109.7,0.0,113.0,12806.1,104.6,13906.6,103.7,14912.9,109.2,15931.0,105.5,15922.2,105.4,18494.4,113.3,20379.4,116.5,21382.7,117.3,22472.3,110.3,22245.0,120.1,24036.3,120.6,23885.3,124.3,24071.1,114.2,23111.8,103.4,22939.1,116.8,25315.6,115.9,23321.7,110.0,23556.1,111.0,23407.7,113.9,29187.8,117.5,28585.5,112.4,28252.7,108.5,30412.4,106.5,32825.4,111.4,32944.9,112.4,29794.7,109.7,29259.3,106.6,27977.2,104.0,27992.9,101.9,30269.8,103.7,29879.6,94.8,29807.0,101.5,34606.1,99.3,32662.5
"농림업",농업,농업총계,재배업,식량작물,소계,소계,소계,168.2,0.0,173.4,0.0,146.7,0.0,150.5,0.0,170.0,0.0,166.3,0.0,160.9,0.0,158.7,0.0,159.4,0.0,162.8,0.0,182.6,0.0,190.7,0.0,194.6,0.0,192.7,0.0,184.7,0.0,127.1,0.0,163.4,0.0,158.8,0.0,165.8,0.0,169.3,0.0,163.5,0.0,158.7,0.0,153.9,0.0,168.4,0.0,166.9,7048.9,152.3,7405.3,143.3,7324.7,143.0,7709.9,128.1,7207.8,130.8,7729.2,126.1,7878.8,141.5,9857.5,141.1,10271.3,132.7,10170.9,138.3,11196.4,136.2,11435.5,140.0,11774.8,128.0,10475.5,114.0,9755.2,130.6,11203.3,128.8,9738.3,122.7,9411.8,116.0,8909.5,126.3,11148.9,128.2,10488.8,111.7,8528.8,110.5,10212.0,107.0,10597.4,114.4,10956.7,112.7,9904.4,111.5,9413.3,108.3,8007.7,102.9,8377.7,101.5,10731.3,102.5,10492.3,93.8,10481.2,103.8,11949.5,101.5,10219.1
"농림업",농업,농업총계,재배업,식량작물,미곡,소계,소계,94.3,0.0,105.6,0.0,97.1,0.0,86.1,0.0,110.2,0.0,106.2,0.0,107.7,0.0,106.6,0.0,113.5,0.0,119.8,0.0,125.8,0.0,140.5,0.0,161.8,0.0,156.2,0.0,150.0,0.0,95.7,0.0,136.4,0.0,139.5,0.0,145.6,0.0,153.1,0.0,151.6,0.0,151.1,0.0,148.0,0.0,163.1,0.0,158.9,6044.1,151.1,6538.0,145.1,6398.3,143.7,6723.2,128.0,6281.0,136.3,6813.3,126.5,6759.8,143.4,8613.2,146.9,9192.8,137.3,9182.6,141.8,10045.1,142.6,10504.6,148.6,10721.7,132.8,9556.4,119.9,8835.9,134.7,9963.1,128.5,8536.8,126.1,8405.7,118.8,7857.5,130.5,9379.6,132.5,8680.0,115.8,6787.4,113.8,8008.8,108.0,8117.5,114.0,8531.7,114.3,8153.6,116.6,7697.2,113.1,6391.9,107.0,6619.6,104.2,8401.2,100.9,8350.7,94.5,8448.7,104.6,9526.3,101.4,7875.2
"농림업",농업,농업총계,재배업,식량작물,맥류,소계,소계,1355.0,0.0,1504.5,0.0,1434.3,0.0,1553.7,0.0,1553.0,0.0,1485.1,0.0,1398.6,0.0,1440.7,0.0,1275.3,0.0,1209.6,0.0,1485.1,0.0,1508.7,0.0,708.3,0.0,1113.8,0.0,1279.7,0.0,730.7,0.0,744.8,0.0,660.5,0.0,748.7,0.0,665.6,0.0,460.5,0.0,363.2,0.0,416.9,0.0,451.5,0.0,412.5,310.9,330.9,295.2,266.5,296.6,246.5,293.1,248.6,311.9,178.8,237.2,223.9,293.0,229.5,299.9,148.4,199.0,145.2,197.8,186.9,276.5,126.8,195.3,214.0,345.1,169.1,261.1,128.8,207.4,146.7,231.4,156.1,249.8,119.0,187.9,136.7,211.9,140.2,209.2,129.9,182.2,91.7,119.8,90.9,136.1,72.3,111.0,68.0,101.1,87.7,130.7,79.3,149.7,86.1,158.3,85.9,157.4,100.6,169.9,120.0,155.7,90.8,135.2,89.2,126.0,78.6,113.6
"농림업",농업,농업총계,재배업,식량작물,맥류,겉보리,소계,3562.4,0.0,3665.1,0.0,3487.5,0.0,3148.5,0.0,3431.2,0.0,3066.8,0.0,2795.2,0.0,2833.9,0.0,2472.2,0.0,2663.5,0.0,3209.7,0.0,3154.3,0.0,1313.0,0.0,2340.0,0.0,2354.1,0.0,1225.7,0.0,1109.9,0.0,910.9,0.0,1169.0,0.0,1016.7,0.0,745.1,0.0,516.4,0.0,621.3,0.0,632.6,0.0,540.1,72.9,431.8,69.1,307.3,59.6,264.1,54.7,226.7,49.5,159.0,36.4,196.2,45.0,180.4,41.3,106.3,25.4,108.1,26.0,140.1,36.9,101.1,27.5,136.1,39.5,132.5,39.5,93.8,29.3,103.6,30.0,102.6,29.7,90.3,26.1,102.8,29.2,101.7,28.3,83.2,22.5,57.2,15.0,53.3,16.5,53.5,17.5,84.7,26.6,101.3,38.3,83.4,32.8,79.3,31.3,97.1,38.2,118.6,40.1,135.8,32.5,86.6,24.4,77.6,20.4,57.1,16.7
"농림업",농업,농업총계,재배업,식량작물,맥류,쌀보리,소계,1169.8,0.0,1426.7,0.0,1353.3,0.0,1700.5,0.0,1572.0,0.0,1579.2,0.0,1536.7,0.0,1678.2,0.0,1539.8,0.0,1373.9,0.0,1701.5,0.0,1794.0,0.0,867.9,0.0,1355.9,0.0,1580.1,0.0,781.4,0.0,904.9,0.0,806.5,0.0,823.9,0.0,770.6,0.0,384.1,0.0,347.4,0.0,431.6,0.0,479.2,0.0,438.9,157.7,328.5,146.1,241.3,125.9,225.6,125.2,219.1,127.5,129.0,78.8,169.8,103.8,187.7,114.7,103.8,64.8,120.2,76.0,184.0,128.7,119.6,87.0,257.7,197.5,161.3,121.9,102.6,78.5,139.0,106.1,164.2,125.7,110.6,84.0,131.4,96.7,140.3,99.1,131.6,87.4,72.8,45.4,74.8,58.7,60.6,47.5,51.3,37.5,81.8,43.0,63.7,61.6,60.2,59.0,52.4,51.3,89.4,74.5,121.8,74.2,95.2,69.9,83.0,57.2,64.6,44.9
"농림업",농업,농업총계,재배업,식량작물,맥류,맥주보리,소계,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,15.7,0.0,-,0.0,-,0.0,-,0.0,73.5,0.0,-,0.0,259.3,0.0,314.8,0.0,316.9,0.0,286.7,0.0,284.8,0.0,475.9,0.0,663.9,0.0,494.5,0.0,464.7,0.0,518.4,0.0,511.2,79.7,469.5,79.6,474.9,110.9,452.2,112.9,511.7,134.1,438.6,120.8,504.3,138.8,501.5,138.1,376.0,103.1,327.0,92.5,349.3,106.7,249.4,79.0,319.7,105.6,320.7,94.5,281.1,90.8,264.3,84.2,268.9,87.6,229.9,72.6,251.4,79.8,237.8,73.3,193.3,55.9,94.5,25.2,72.8,18.4,36.5,11.7,43.5,13.3,66.3,24.6,74.3,27.7,77.3,27.0,83.3,29.0,88.8,30.2,130.4,34.4,86.1,24.4,83.5,22.4,64.2,17.5
